batch_id,batch_role,elapsed_time_h,ph,dissolved_oxygen_pct,temperature_c,agitation_rpm,feed_rate_ml_h
REF_001,reference,78,7.022,35.05,36.77,148.8,14.18
REF_001,reference,79,7.027,36.3,36.82,147.5,14.14
REF_001,reference,80,7.018,36.11,36.82,146.4,14.54
REF_001,reference,81,7.02,37.09,36.79,148.4,14.47
REF_001,reference,82,7.019,36.32,36.78,149.8,14.81
REF_001,reference,83,7.012,34.55,36.81,149.8,15.04
REF_001,reference,84,7.025,35.8,36.8,149.9,15.58
REF_001,reference,85,7.017,34.93,36.75,151.8,15.19
REF_001,reference,86,7.02,35.43,36.79,151.3,15.8
REF_001,reference,87,7.024,37.0,36.8,151.8,15.79
REF_001,reference,88,7.023,36.21,36.77,153.9,16.01
REF_001,reference,89,7.024,35.04,36.8,153.5,16.15
REF_001,reference,90,7.018,34.65,36.75,155.2,16.39
REF_001,reference,91,7.015,35.34,36.84,156.0,16.48
REF_001,reference,92,7.017,34.17,36.83,154.6,16.91
REF_001,reference,93,7.004,34.44,36.79,156.4,16.81
REF_001,reference,94,7.005,35.06,36.81,160.0,17.23
REF_001,reference,95,7.006,35.57,36.72,156.9,17.15
REF_001,reference,96,7.008,34.98,36.76,156.3,17.42
REF_001,reference,97,7.019,32.53,36.79,157.5,17.45
REF_001,reference,98,7.008,34.5,36.76,161.2,17.87
REF_001,reference,99,7.012,34.24,36.82,162.0,18.2
REF_001,reference,100,7.025,34.47,36.86,162.6,18.16
REF_001,reference,101,7.011,35.43,36.76,165.5,18.33
REF_001,reference,102,7.02,32.54,36.77,160.5,18.37
REF_001,reference,103,7.006,33.8,36.8,166.0,18.69
REF_001,reference,104,7.012,34.89,36.84,168.7,18.67
REF_001,reference,105,7.005,33.33,36.76,165.5,18.96
REF_001,reference,106,7.01,36.0,36.8,167.5,19.31
REF_001,reference,107,7.019,35.39,36.85,167.9,19.66
REF_001,reference,108,6.998,36.08,36.75,168.6,20.07
REF_001,reference,109,7.015,35.28,36.76,170.4,19.75
REF_001,reference,110,7.014,36.76,36.78,173.9,20.24
REF_001,reference,111,7.007,37.36,36.78,175.5,20.24
REF_001,reference,112,7.0,37.09,36.82,173.1,20.37
REF_001,reference,113,7.012,37.51,36.8,177.4,20.64
REF_001,reference,114,7.007,37.95,36.74,175.5,20.77
REF_001,reference,115,7.013,37.46,36.81,179.0,20.96
REF_001,reference,116,7.011,38.42,36.78,177.2,21.07
REF_001,reference,117,7.023,38.8,36.83,178.5,21.11
REF_001,reference,118,7.009,39.57,36.78,179.7,21.27
REF_001,reference,119,7.002,40.38,36.78,184.9,21.78
REF_001,reference,120,7.012,39.01,35.81,182.3,21.83
REF_001,reference,121,7.012,39.99,35.82,180.8,21.97
REF_001,reference,122,7.021,41.47,35.81,184.3,22.24
REF_001,reference,123,7.017,39.83,35.74,183.2,22.54
REF_001,reference,124,7.013,39.87,35.81,183.8,22.64
REF_001,reference,125,7.022,40.74,35.76,186.8,22.7
REF_001,reference,126,7.001,41.26,35.8,186.4,23.16
REF_001,reference,127,7.005,40.57,35.75,187.6,23.4
REF_001,reference,128,7.003,41.55,35.81,188.0,23.42
REF_001,reference,129,7.007,41.08,35.77,189.3,23.68
REF_001,reference,130,7.0,40.94,35.76,190.3,23.91
REF_001,reference,131,7.016,40.56,35.82,187.6,24.07
REF_001,reference,132,7.009,41.81,35.8,192.3,24.18
REF_001,reference,133,6.999,39.62,35.78,190.6,24.36
REF_001,reference,134,7.003,38.01,35.84,190.7,24.54
REF_001,reference,135,7.014,40.73,35.78,193.5,24.48
REF_001,reference,136,7.018,38.93,35.8,194.4,24.94
REF_001,reference,137,7.028,39.24,35.8,194.0,24.81
REF_001,reference,138,7.035,40.09,35.78,197.0,25.08
REF_001,reference,139,7.016,37.67,35.81,194.4,25.58
REF_001,reference,140,7.005,37.89,35.78,196.5,25.7
REF_001,reference,141,6.996,37.58,35.78,196.9,25.98
REF_001,reference,142,7.015,38.23,35.84,198.4,25.9
REF_001,reference,143,7.007,39.26,35.76,199.5,25.95
REF_001,reference,144,7.011,39.39,35.72,198.2,26.27
REF_001,reference,145,7.009,39.29,35.84,201.4,26.51
REF_001,reference,146,7.014,38.06,35.87,201.0,26.69
REF_001,reference,147,7.024,37.48,35.78,198.6,27.03
REF_001,reference,148,7.017,39.53,35.74,199.1,27.0
REF_001,reference,149,7.014,39.28,35.79,202.5,27.29
REF_001,reference,150,7.008,40.19,35.79,202.7,27.27
REF_001,reference,151,7.003,40.56,35.79,203.4,27.67
REF_001,reference,152,7.013,40.26,35.76,204.0,27.79
REF_001,reference,153,7.017,40.91,35.81,204.9,27.86
REF_001,reference,154,7.032,40.6,35.81,206.5,28.12
REF_001,reference,155,7.019,40.93,35.75,203.8,28.32
REF_001,reference,156,7.026,40.01,35.82,204.2,28.49
REF_001,reference,157,7.015,40.45,35.86,204.8,28.98
REF_001,reference,158,7.01,40.73,35.8,207.3,28.89
REF_001,reference,159,7.012,41.16,35.79,209.1,29.05
REF_001,reference,160,7.014,40.08,35.79,207.0,28.96
REF_001,reference,161,7.037,40.65,35.81,204.3,29.32
REF_001,reference,162,7.014,39.82,35.74,205.9,29.6
REF_001,reference,163,7.028,39.69,35.8,207.6,29.72
REF_001,reference,164,7.014,40.16,35.78,208.4,30.22
REF_001,reference,165,7.029,37.58,35.85,209.0,30.17
REF_001,reference,166,7.025,37.79,35.79,210.1,30.57
REF_001,reference,167,7.021,37.26,35.85,209.9,30.57
REF_001,reference,168,7.022,36.18,35.76,212.4,30.76
REF_001,reference,169,7.017,37.09,35.81,210.1,30.92
REF_001,reference,170,7.026,37.82,35.81,210.2,31.12
REF_001,reference,171,7.019,36.57,35.77,212.6,31.56
REF_001,reference,172,7.013,36.56,35.8,210.0,31.14
REF_001,reference,173,7.013,36.88,35.83,213.2,31.37
REF_001,reference,174,7.025,36.71,35.79,213.2,31.78
REF_001,reference,175,7.036,35.26,35.74,213.2,32.05
REF_001,reference,176,7.025,36.1,35.79,216.2,32.33
REF_001,reference,177,7.023,34.83,35.77,213.3,32.49
REF_001,reference,178,7.027,33.87,35.79,217.7,32.54
REF_001,reference,179,7.035,33.9,35.79,214.7,32.94
REF_001,reference,180,7.026,33.06,35.74,213.5,33.12
REF_001,reference,181,7.021,33.46,35.75,215.9,33.18
REF_001,reference,182,7.034,33.85,35.81,214.6,33.48
REF_001,reference,183,7.028,34.79,35.78,215.6,33.57
REF_001,reference,184,7.037,35.57,35.72,217.7,33.63
REF_001,reference,185,7.026,33.17,35.82,218.4,34.0
REF_001,reference,186,7.015,34.71,35.8,217.2,34.1
REF_001,reference,187,7.014,33.7,35.77,220.1,34.26
REF_001,reference,188,7.038,35.06,35.76,220.8,34.67
REF_001,reference,189,7.039,34.75,35.82,221.7,34.27
REF_001,reference,190,7.024,33.56,35.81,220.9,34.61
REF_001,reference,191,7.022,35.93,35.87,222.7,34.83
REF_001,reference,192,7.037,34.87,35.81,218.4,35.14
REF_001,reference,193,7.016,35.07,35.81,221.3,35.34
REF_001,reference,194,7.018,34.77,35.79,221.0,35.33
REF_001,reference,195,7.03,35.21,35.82,223.1,35.6
REF_001,reference,196,7.022,36.15,35.81,222.7,35.8
REF_001,reference,197,7.025,35.7,35.83,223.9,36.48
REF_001,reference,198,7.024,36.13,35.78,227.7,36.57
REF_001,reference,199,7.028,36.13,35.78,225.2,36.42
REF_001,reference,200,7.037,36.85,35.78,226.8,36.61
REF_001,reference,201,7.026,35.44,35.82,226.5,36.68
REF_001,reference,202,7.03,34.43,35.84,227.7,36.75
REF_001,reference,203,7.009,36.33,35.78,228.3,37.21
REF_001,reference,204,7.025,35.06,35.78,229.7,37.26
REF_001,reference,205,7.018,36.06,35.8,231.5,37.58
REF_001,reference,206,7.015,35.3,35.79,233.0,37.54
REF_001,reference,207,7.018,34.72,35.82,231.8,37.85
REF_001,reference,208,7.022,34.94,35.73,233.0,38.17
REF_001,reference,209,7.032,36.07,35.77,231.2,38.39
REF_001,reference,210,7.014,36.03,35.77,233.6,38.58
REF_001,reference,211,7.025,34.32,35.73,236.0,38.51
REF_001,reference,212,7.021,34.31,35.77,236.7,39.02
REF_001,reference,213,7.022,35.0,35.77,236.6,38.95
REF_001,reference,214,7.033,33.46,35.79,238.4,39.35
REF_001,reference,215,7.029,34.45,35.83,238.7,39.44
REF_001,reference,216,7.035,34.25,35.79,240.6,39.42
REF_001,reference,217,7.023,34.65,35.76,240.2,39.77
REF_001,reference,218,7.019,33.91,35.79,240.1,40.05
REF_001,reference,219,7.023,33.53,35.83,242.0,40.28
REF_001,reference,220,7.026,33.41,35.77,238.0,40.35
REF_001,reference,221,7.026,34.47,35.77,243.9,40.78
REF_001,reference,222,7.016,35.34,35.81,238.8,40.89
REF_001,reference,223,7.025,35.84,35.79,242.6,40.89
REF_001,reference,224,7.026,38.01,35.81,246.8,41.22
REF_001,reference,225,7.044,37.75,35.8,247.8,41.58
REF_001,reference,226,7.039,36.51,35.82,246.2,41.77
REF_001,reference,227,7.017,37.98,35.76,247.8,41.48
REF_001,reference,228,7.022,37.78,35.8,251.9,41.71
REF_001,reference,229,7.012,38.28,35.79,250.0,42.26
REF_001,reference,230,7.019,39.03,35.76,255.0,42.06
REF_001,reference,231,7.026,39.73,35.75,252.6,42.21
REF_001,reference,232,7.033,39.28,35.82,254.1,42.52
REF_001,reference,233,7.018,40.68,35.78,256.9,42.84
REF_001,reference,234,7.018,39.16,35.76,255.5,42.94
REF_001,reference,235,7.006,40.27,35.79,254.7,43.05
REF_001,reference,236,7.022,42.49,35.83,257.0,43.23
REF_001,reference,237,7.015,40.7,35.73,258.0,43.41
REF_001,reference,238,7.019,41.72,35.75,256.8,43.57
REF_001,reference,239,7.016,40.66,35.77,259.4,44.23
REF_001,reference,240,7.023,41.03,35.84,259.5,44.11
REF_002,reference,0,7.109,39.53,36.71,98.1,0.0
REF_002,reference,1,7.11,41.43,36.69,99.8,0.0
REF_002,reference,2,7.104,40.57,36.77,100.5,0.0
REF_002,reference,3,7.087,42.9,36.65,100.7,0.0
REF_002,reference,4,7.096,41.5,36.71,103.7,0.0
REF_002,reference,5,7.091,43.2,36.67,102.6,0.0
REF_002,reference,6,7.085,42.37,36.69,102.1,0.0
REF_002,reference,7,7.092,43.13,36.7,105.7,0.0
REF_002,reference,8,7.111,42.01,36.63,104.5,0.0
REF_002,reference,9,7.098,42.09,36.71,107.0,0.0
REF_002,reference,10,7.108,43.29,36.76,107.6,0.0
REF_002,reference,11,7.099,43.8,36.69,108.6,0.0
REF_002,reference,12,7.101,43.09,36.71,113.8,0.0
REF_002,reference,13,7.086,42.04,36.73,111.7,0.0
REF_002,reference,14,7.096,41.94,36.7,112.8,0.0
REF_002,reference,15,7.096,41.82,36.68,110.7,0.0
REF_002,reference,16,7.084,41.44,36.63,113.2,0.0
REF_002,reference,17,7.092,42.82,36.72,115.3,0.0
REF_002,reference,18,7.091,43.48,36.7,114.2,0.0
REF_002,reference,19,7.08,42.4,36.67,117.9,0.0
REF_002,reference,20,7.075,40.44,36.7,115.5,0.0
REF_002,reference,21,7.073,41.92,36.68,117.7,0.0
REF_002,reference,22,7.082,41.78,36.68,118.0,0.0
REF_002,reference,23,7.082,43.43,36.72,119.9,0.0
REF_002,reference,24,7.072,40.46,36.66,119.4,4.16
REF_002,reference,25,7.077,41.2,36.73,120.6,4.42
REF_002,reference,26,7.081,42.79,36.66,121.4,4.39
REF_002,reference,27,7.08,41.73,36.68,121.3,4.55
REF_002,reference,28,7.086,41.79,36.76,123.8,4.87
REF_002,reference,29,7.083,41.44,36.73,124.1,5.08
REF_002,reference,30,7.063,41.65,36.7,124.2,5.11
REF_002,reference,31,7.084,42.08,36.67,124.3,5.47
REF_002,reference,32,7.065,40.91,36.68,126.8,5.69
REF_002,reference,33,7.077,42.38,36.7,125.8,5.92
REF_002,reference,34,7.068,40.73,36.7,126.3,6.17
REF_002,reference,35,7.063,42.25,36.7,127.4,5.96
REF_002,reference,36,7.051,42.29,36.7,130.4,6.27
REF_002,reference,37,7.063,41.83,36.69,126.3,6.46
REF_002,reference,38,7.051,42.47,36.66,130.0,6.62
REF_002,reference,39,7.07,42.15,36.68,126.5,6.72
REF_002,reference,40,7.073,41.93,36.73,130.2,6.78
REF_002,reference,41,7.054,42.62,36.66,132.7,7.2
REF_002,reference,42,7.062,42.11,36.69,131.5,7.26
REF_002,reference,43,7.052,43.31,36.68,131.5,7.57
REF_002,reference,44,7.052,42.15,36.7,130.8,7.62
REF_002,reference,45,7.063,43.61,36.69,132.2,7.76
REF_002,reference,46,7.055,42.03,36.74,132.2,8.14
REF_002,reference,47,7.069,42.41,36.72,131.8,8.31
REF_002,reference,48,7.05,42.2,36.66,132.9,8.56
REF_002,reference,49,7.061,43.55,36.72,134.1,8.98
REF_002,reference,50,7.053,42.5,36.68,133.0,8.88
REF_002,reference,51,7.058,41.78,36.68,133.3,9.09
REF_002,reference,52,7.047,42.02,36.71,132.9,9.04
REF_002,reference,53,7.049,39.58,36.69,135.9,9.19
REF_002,reference,54,7.048,40.85,36.73,136.5,9.81
REF_002,reference,55,7.041,42.08,36.68,136.4,9.61
REF_002,reference,56,7.053,40.18,36.68,137.9,9.78
REF_002,reference,57,7.052,39.71,36.68,136.9,10.11
REF_002,reference,58,7.051,39.68,36.68,137.8,10.29
REF_002,reference,59,7.057,39.56,36.73,138.0,10.35
REF_002,reference,60,7.056,36.86,36.72,137.8,10.62
REF_002,reference,61,7.041,36.75,36.75,137.5,11.04
REF_002,reference,62,7.046,37.93,36.77,142.0,10.92
REF_002,reference,63,7.037,36.9,36.67,138.4,11.01
REF_002,reference,64,7.042,38.27,36.7,138.5,11.54
REF_002,reference,65,7.036,36.75,36.66,140.5,11.66
REF_002,reference,66,7.053,35.29,36.68,140.6,11.68
REF_002,reference,67,7.042,35.7,36.68,138.6,11.72
REF_002,reference,68,7.037,34.44,36.67,142.8,12.02
REF_002,reference,69,7.048,36.43,36.67,141.4,12.31
REF_002,reference,70,7.02,36.48,36.7,140.3,12.68
REF_002,reference,71,7.021,36.34,36.66,144.2,12.53
REF_002,reference,72,7.043,37.63,36.73,143.8,12.86
REF_002,reference,73,7.036,37.84,36.67,141.5,13.15
REF_002,reference,74,7.037,36.89,36.78,146.5,12.88
REF_002,reference,75,7.024,35.47,36.69,145.3,13.57
REF_002,reference,76,7.034,37.84,36.7,144.8,13.42
REF_002,reference,77,7.05,37.96,36.66,147.8,13.83
REF_002,reference,78,7.04,37.93,36.75,146.2,14.01
REF_002,reference,79,7.034,38.63,36.73,146.4,14.31
REF_002,reference,80,7.028,37.06,36.71,146.1,14.42
REF_002,reference,81,7.028,39.72,36.66,148.5,14.16
REF_002,reference,82,7.014,37.45,36.71,148.9,14.58
REF_002,reference,83,7.032,38.89,36.67,148.9,14.91
REF_002,reference,84,7.037,36.98,36.74,148.3,15.04
REF_002,reference,85,7.017,37.6,36.72,150.3,15.32
REF_002,reference,86,7.024,39.53,36.7,150.7,15.55
REF_002,reference,87,7.019,38.06,36.63,149.5,15.71
REF_002,reference,88,7.02,38.86,36.67,149.9,15.77
REF_002,reference,89,7.028,38.26,36.72,153.7,15.71
REF_002,reference,90,7.01,37.86,36.74,149.7,16.1
REF_002,reference,91,7.032,38.88,36.73,154.6,16.41
REF_002,reference,92,7.032,37.44,36.65,154.3,16.37
REF_002,reference,93,7.024,36.03,36.71,157.8,16.81
REF_002,reference,94,7.006,36.64,36.73,155.9,17.04
REF_002,reference,95,7.017,37.56,36.65,158.4,17.1
REF_002,reference,96,7.035,37.29,36.7,157.6,16.81
REF_002,reference,97,7.002,35.59,36.71,159.2,17.26
REF_002,reference,98,7.021,36.15,36.69,161.0,17.92
REF_002,reference,99,7.014,36.19,36.64,160.0,17.73
REF_002,reference,100,7.03,36.33,36.69,163.0,17.7
REF_002,reference,101,7.018,35.52,36.69,160.9,18.37
REF_002,reference,102,7.026,36.16,36.7,163.7,18.37
REF_002,reference,103,7.027,36.17,36.68,165.5,18.72
REF_002,reference,104,7.037,37.51,36.69,166.0,18.77
REF_002,reference,105,7.02,37.72,36.7,168.8,18.98
REF_002,reference,106,7.024,37.18,36.71,165.7,19.15
REF_002,reference,107,7.009,37.26,36.69,165.7,19.39
REF_002,reference,108,7.03,37.99,36.69,167.2,19.81
REF_002,reference,109,7.015,37.57,36.7,170.6,19.79
REF_002,reference,110,7.016,37.67,36.64,171.3,19.6
REF_002,reference,111,7.02,38.23,36.71,171.6,20.08
REF_002,reference,112,7.008,38.88,36.7,170.7,20.37
REF_002,reference,113,7.022,38.87,36.7,174.4,20.56
REF_002,reference,114,7.027,40.35,36.73,172.4,20.5
REF_002,reference,115,7.022,41.21,36.64,176.9,20.92
REF_002,reference,116,7.007,39.75,36.64,180.4,21.07
REF_002,reference,117,7.018,41.42,36.71,177.5,21.5
REF_002,reference,118,7.025,41.57,36.7,178.8,21.19
REF_002,reference,119,7.004,42.33,36.71,178.1,21.41
REF_002,reference,120,7.01,42.32,35.69,177.0,21.62
REF_002,reference,121,7.026,41.41,35.72,179.7,21.77
REF_002,reference,122,7.021,41.75,35.73,179.9,21.9
REF_002,reference,123,7.022,42.93,35.71,180.3,21.8
REF_002,reference,124,7.034,43.83,35.69,185.9,22.33
REF_002,reference,125,7.023,41.29,35.64,184.6,22.64
REF_002,reference,126,7.024,43.34,35.72,185.6,22.69
REF_002,reference,127,7.041,43.99,35.74,185.4,23.24
REF_002,reference,128,7.017,42.85,35.72,186.5,23.13
REF_002,reference,129,7.013,43.31,35.67,189.0,23.51
REF_002,reference,130,7.023,42.18,35.72,188.4,23.54
REF_002,reference,131,7.023,42.5,35.73,190.0,23.8
REF_002,reference,132,7.015,41.13,35.75,189.7,23.91
REF_002,reference,133,7.012,40.39,35.67,190.3,24.25
REF_002,reference,134,7.038,42.84,35.69,189.4,24.24
REF_002,reference,135,7.023,41.14,35.72,189.3,24.49
REF_002,reference,136,7.015,41.41,35.7,192.7,24.65
REF_002,reference,137,7.028,40.53,35.67,193.9,24.74
REF_002,reference,138,7.02,40.39,35.71,192.6,25.02
REF_002,reference,139,7.019,41.29,35.72,195.1,25.48
REF_002,reference,140,7.026,40.79,35.7,195.9,25.29
REF_002,reference,141,7.011,41.65,35.71,193.3,25.58
REF_002,reference,142,7.025,41.71,35.69,195.8,25.89
REF_002,reference,143,7.038,41.64,35.74,198.4,26.05
REF_002,reference,144,7.026,41.64,35.67,199.0,26.06
REF_002,reference,145,7.02,42.81,35.68,197.3,25.89
REF_002,reference,146,7.019,40.81,35.7,199.8,26.51
REF_002,reference,147,7.02,41.77,35.73,201.7,26.28
REF_002,reference,148,7.022,42.87,35.66,201.9,27.02
REF_002,reference,149,7.021,43.15,35.66,201.1,27.0
REF_002,reference,150,7.032,41.17,35.64,201.1,27.31
REF_002,reference,151,7.011,42.22,35.7,201.4,27.21
REF_002,reference,152,7.033,43.72,35.67,203.5,27.3
REF_002,reference,153,7.023,43.18,35.69,203.6,27.75
REF_002,reference,154,7.029,43.05,35.72,204.7,27.89
REF_002,reference,155,7.018,42.82,35.68,204.4,28.01
REF_002,reference,156,7.038,42.74,35.71,205.9,28.27
REF_002,reference,157,7.038,43.3,35.69,205.3,28.86
REF_002,reference,158,7.036,42.85,35.72,206.8,28.75
REF_002,reference,159,7.016,42.95,35.71,207.3,28.97
REF_002,reference,160,7.035,42.94,35.68,205.2,29.12
REF_002,reference,161,7.032,42.17,35.7,204.1,29.4
REF_002,reference,162,7.016,42.94,35.73,209.5,29.33
REF_002,reference,163,7.029,44.6,35.71,208.0,29.24
REF_002,reference,164,7.033,40.56,35.66,205.4,29.7
REF_002,reference,165,7.035,41.92,35.72,207.3,30.03
REF_002,reference,166,7.032,40.69,35.67,209.9,29.95
REF_002,reference,167,7.033,41.38,35.74,208.7,30.25
REF_002,reference,168,7.043,40.56,35.73,208.8,30.36
REF_002,reference,169,7.041,40.72,35.71,212.0,30.87
REF_002,reference,170,7.009,40.64,35.7,208.7,30.94
REF_002,reference,171,7.029,39.44,35.69,209.4,31.11
REF_002,reference,172,7.031,39.78,35.72,211.3,31.29
REF_002,reference,173,7.018,36.62,35.69,212.0,31.37
REF_002,reference,174,7.033,39.4,35.71,212.5,31.59
REF_002,reference,175,7.043,38.1,35.73,213.5,31.57
REF_002,reference,176,7.024,38.36,35.68,212.8,31.6
REF_002,reference,177,7.036,36.26,35.68,213.7,32.13
REF_002,reference,178,7.026,36.36,35.66,212.9,32.34
REF_002,reference,179,7.028,36.97,35.67,213.8,32.66
REF_002,reference,180,7.045,36.71,35.65,214.3,32.9
REF_002,reference,181,7.029,36.88,35.72,214.9,33.08
REF_002,reference,182,7.037,37.48,35.75,216.2,32.88
REF_002,reference,183,7.019,35.21,35.74,216.3,33.16
REF_002,reference,184,7.049,37.45,35.65,216.0,33.47
REF_002,reference,185,7.039,36.76,35.72,215.1,33.96
REF_002,reference,186,7.032,36.71,35.74,216.9,33.98
REF_002,reference,187,7.038,35.83,35.69,217.3,34.11
REF_002,reference,188,7.023,37.57,35.7,218.1,34.07
REF_002,reference,189,7.043,35.4,35.64,221.6,34.18
REF_002,reference,190,7.031,38.02,35.71,218.1,34.61
REF_002,reference,191,7.032,36.48,35.67,220.0,34.51
REF_002,reference,192,7.03,37.87,35.71,221.5,34.82
REF_002,reference,193,7.029,37.88,35.65,220.6,35.03
REF_002,reference,194,7.04,39.04,35.72,224.6,35.46
REF_002,reference,195,7.036,38.06,35.73,221.1,35.36
REF_002,reference,196,7.039,37.73,35.68,222.8,35.23
REF_002,reference,197,7.034,37.92,35.67,221.7,35.85
REF_002,reference,198,7.038,39.36,35.64,223.0,35.85
REF_002,reference,199,7.031,38.75,35.69,224.6,36.15
REF_002,reference,200,7.052,37.96,35.68,226.2,36.31
REF_002,reference,201,7.021,38.0,35.65,226.1,36.47
REF_002,reference,202,7.044,36.83,35.71,228.2,36.81
REF_002,reference,203,7.045,38.27,35.69,226.9,36.65
REF_002,reference,204,7.027,36.4,35.67,227.3,36.98
REF_002,reference,205,7.052,38.24,35.68,232.6,37.34
REF_002,reference,206,7.042,37.58,35.73,229.9,37.33
REF_002,reference,207,7.042,39.21,35.72,229.0,37.37
REF_002,reference,208,7.034,36.26,35.7,229.8,37.89
REF_002,reference,209,7.032,36.9,35.72,230.2,38.14
REF_002,reference,210,7.032,38.29,35.67,233.9,38.15
REF_002,reference,211,7.037,37.69,35.7,232.7,38.05
REF_002,reference,212,7.045,36.11,35.7,234.3,38.63
REF_002,reference,213,7.035,36.8,35.69,234.9,38.46
REF_002,reference,214,7.026,36.62,35.71,236.9,38.94
REF_002,reference,215,7.04,36.88,35.68,235.4,38.94
REF_002,reference,216,7.041,36.19,35.72,236.0,39.08
REF_002,reference,217,7.039,36.81,35.72,238.8,39.37
REF_002,reference,218,7.039,35.78,35.61,240.3,39.6
REF_002,reference,219,7.031,37.39,35.74,240.8,39.71
REF_002,reference,220,7.026,37.9,35.61,240.0,40.08
